Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1460,2.46,0.1,0.6,0.1,0.4,24549.64488,1164.262231,532.6765788,
1461,3,0.36,0.6,0.26,0.8,25076.30831,1944.722948,4187.820619,
1462,2.46,0.36,0.35,0.18,0.2,22528.13484,1534.226967,2993.942804,
1463,1.38,0.49,0.35,0.42,0.4,21649.16929,2094.062665,5258.767774,
1464,1.38,0.36,0.225,0.1,0.8,18322.1184,1872.994637,4004.61389,
1465,1.38,0.62,0.6,0.26,0.8,20709.36745,2766.010116,8559.563598,
1466,2.46,0.75,0.475,0.5,0.8,23573.44375,2949.426728,10698.44973,
1467,0.84,0.23,0.475,0.5,0.2,23167.50973,1490.124887,1463.171452,
1468,1.38,0.23,0.475,0.42,0.2,23772.27517,1444.048969,1462.967073,
1469,1.92,0.36,0.475,0.34,0.6,23232.90973,1889.456434,3793.639999,
1470,3,0.49,0.1,0.18,0.4,21090.20624,1834.175837,5028.472727,
1471,2.46,0.75,0.225,0.18,0.8,19381.57832,2867.68174,10698.44973,
1472,2.46,0.36,0.1,0.5,0.6,23316.43599,1767.575987,3791.760555,
1473,2.46,0.1,0.6,0.18,0.2,25332.76094,1167.186129,463.1266797,
1474,0.84,0.75,0.475,0.34,0.2,19725.44491,2562.781049,7807.806912,
1475,3,0.75,0.1,0.34,0.4,21406.19549,2447.015261,8767.269282,
1476,2.46,0.36,0.475,0.42,0.4,25093.71845,1766.415304,3392.851679,
1477,0.84,0.36,0.225,0.5,0.2,21115.19665,1659.047102,2841.595155,
1478,1.92,0.23,0.35,0.5,0.4,24692.24363,1489.583933,1791.407795,
1479,1.38,0.36,0.35,0.18,0.2,20362.9013,1573.507041,2841.106425,
1480,2.46,0.62,0.35,0.5,0.2,24113.22917,2135.833953,6217.260103,
1481,2.46,0.49,0.35,0.1,0.8,20582.3084,2220.655113,6185.454872,
1482,0.84,0.36,0.225,0.1,0.4,17367.9696,1680.534533,3229.919707,
1483,0.84,0.49,0.35,0.34,0.2,19965.11305,1962.431678,4663.433033,
1484,2.46,0.62,0.225,0.26,0.6,20860.83406,2407.832938,7773.491255,
1485,3,0.23,0.225,0.42,0.8,25106.75708,1524.076554,2225.099799,
1486,1.38,0.36,0.475,0.26,0.6,21446.7513,1898.311413,3616.778068,
1487,1.92,0.36,0.6,0.26,0.4,23389.87291,1788.715946,3394.104642,
1488,1.38,0.36,0.35,0.34,0.6,21429.51086,1872.06928,3616.778068,
1489,0.3,0.62,0.225,0.26,0.2,16618.34515,2284.367463,6220.89462,
1490,3,0.23,0.225,0.26,0.8,23770.90947,1476.078458,2225.099799,
1491,1.92,0.36,0.1,0.1,0.4,18941.8295,1559.148305,3394.104642,
1492,0.3,0.23,0.6,0.42,0.2,21803.91717,1539.636115,1463.335297,
1493,1.92,0.1,0.1,0.34,0.4,22716.06421,1072.385241,532.588153,
1494,1.38,0.23,0.475,0.42,0.6,23514.74813,1598.617164,1882.258407,
1495,2.46,0.23,0.6,0.42,0.6,26306.09799,1610.923557,2008.69805,
1496,0.84,0.49,0.35,0.34,0.6,19544.234,2291.079412,5857.000583,
1497,0.84,0.75,0.225,0.1,0.6,15488.17947,2879.147222,9742.343302,
1498,0.84,0.36,0.1,0.18,0.8,16983.29448,1906.29492,4006.568812,
1499,1.38,0.23,0.1,0.1,0.2,18651.50295,1185.545619,1462.967073,
